"Employers who were Issued a Positive Labour Market Impact Assessment (LMIA) by Stream, National Occupational Classification (NOC) 2011 and Business Location in 2020 (October-December)",b,c,d,e,f
Quebec,    High Wage,9048-9493 Québec Inc.,"St-BENOIT LABRE, QC G0M 1P0",7312-Heavy-duty equipment mechanics,1
Quebec,    High Wage,9049-6605 Quebec Inc.,"Montréal, QC H2J 1Z5",6311-Food service supervisors,1
Quebec,    High Wage,9052-9470 Québec Inc,"St-Lazare,QC, QC J7T 2B8",7231-Machinists and machining and tooling inspectors,8
Quebec,    High Wage,9058-3964 Québec Inc.,"SAINT-JUDE, QC J0H  1P",1221-Administrative officers,1
Quebec,    High Wage,9072-0939 QUEBEC INC.,"Saint-Leonard, QC H1P 2A2",7322-Motor vehicle body repairers,2
Quebec,    High Wage,9084 9597 Québec Inc.,"TROIS-RIVIERES, QC G8Z 4H4",7237-Welders and related machine operators,1
Quebec,    High Wage,9090-1588 Québec Inc.,"Saint-Germain-de-Grantham, QC J0C 1K0",7283-Tilesetters,1
Quebec,    High Wage,9097-9287 Québec Inc.,"TRING-JONCTION, QC G0N 1X0","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",4
Quebec,    High Wage,9099-7768 QUÉBEC INC.,"Saint-Augustin-de-Demaures, QC G3A 1V9",7231-Machinists and machining and tooling inspectors,1
Quebec,    High Wage,9099-7768 QUÉBEC INC.,"Saint-Augustin-de-Demaures, QC G3A 1V9",7237-Welders and related machine operators,4
Quebec,    High Wage,9105-9345 Quebec Inc,"MONTREAL, QC H2X 3P9",6322-Cooks,1
Quebec,    High Wage,9108-1471 Québec Inc,"DRUMMONDVILLE, QC J2C 2B9",6322-Cooks,4
Quebec,    High Wage,9119-6832 QUEBEC INC,"LEVIS, QC G6W 8B6","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
Quebec,    High Wage,9120-9114 Québec Inc.,"Saint-Jean-de-Matha, QC J0K 2S0",6311-Food service supervisors,1
Quebec,    High Wage,9121-4734 Québec Inc.,"Laval, QC H7W 3H2",7322-Motor vehicle body repairers,1
Quebec,    High Wage,9122-3081 QUEBEC INC,"THETFORD MINES, QC G6G 7H4",7511-Transport truck drivers,1
Quebec,    High Wage,9124-6264 Québec Inc.,"Victoriaville, QC G6P 7J4",2175-Web designers and developers,1
Quebec,    High Wage,9126-6189 Québec inc,"St-Hugues, QC J0H 1N0",7237-Welders and related machine operators,2
Quebec,    High Wage,9129-2151 QUÉBEC INC,"St Laurent, QC H4N 1J7",6332-Bakers,1
Quebec,    High Wage,9132-1604 Québec Inc.,"Lachine, QC H8S 1A2",5241-Graphic designers and illustrators,1
Quebec,    High Wage,9134-8052 Québec Inc,"Rouyn-Noranda, QC J9X 4P2",1241-Administrative assistants,1
Quebec,    High Wage,9134-8052 Québec Inc,"Rouyn-Noranda, QC J9X 4P2",6321-Chefs,1
Quebec,    High Wage,9135-8838 QUEBEC INC.,"SEPT-ILES, QC G4R 1W8",7322-Motor vehicle body repairers,1
Quebec,    High Wage,9146-6573 Québec inc.,"Sherbrooke, QC J1G 2K2",6322-Cooks,1
Quebec,    High Wage,9148-6886 Québec Inc.,"SAINT-JÉRÔME, QC J7Y 5K8",6322-Cooks,1
Quebec,    High Wage,9150-2468 québec inc.,"Rouyn-Noranda, QC J9X 6M6","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
Quebec,    High Wage,9152-2458 Quebec Inc,"Paspebiac, QC G0C 2K0",2242-Electronic service technicians (household and business equipment),2
Quebec,    High Wage,9154-2589 Québec inc.,"Gatineau, QC J8M 1P4",1311-Accounting technicians and bookkeepers,1
Quebec,    High Wage,9174-0092 Québec Inc.,"Montreal, QC H2V 2K3",6321-Chefs,1
Quebec,    High Wage,9174-0738 Québec inc.,"Montréal, QC H3A 1P7",6321-Chefs,1
Quebec,    High Wage,9174-3054QUEBEC INC,"Montréal, QC H1E 1P7",7237-Welders and related machine operators,1
Quebec,    High Wage,9176-2559 Quebec Inc,"Montreal, QC H3S 2B2",6322-Cooks,1
Quebec,    High Wage,9179-6037 Québec Inc. (Restaurant Mikes Lévis),"Lévis, QC G6V 6C9",6322-Cooks,4
Quebec,    High Wage,9183-8805 Québec inc,"Jonquière, QC G7X 8S7",7322-Motor vehicle body repairers,1
Quebec,    High Wage,9186-0999 Québec Inc.,"Maniwaki, QC J9E 2B3",6311-Food service supervisors,4
Quebec,    High Wage,9196-4098 Québec Inc.,"Alma, QC G8B 2V8",6322-Cooks,4
Quebec,    High Wage,9197-4659 Québec inc,"East-Broughton, QC G0N 1H0","6331-Butchers, meat cutters and fishmongers - retail and wholesale",4
Quebec,    High Wage,9207-2552 Québec inc.,"Montréal, QC H1N 2R9",6311-Food service supervisors,1
Quebec,    High Wage,9215-5662 QUÉBEC INC.,"Sept-îles, QC G4R 1Y2",6311-Food service supervisors,2
Quebec,    High Wage,9219-6815 QUÉBEC INC,"Québec, QC G1N 4K8",6332-Bakers,1
Quebec,    High Wage,9225-2915 QUEBEC INC,"LEVIS, QC G6W 8B6","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",2
Quebec,    High Wage,9225-2915 QUEBEC INC,"LEVIS, QC G6W 8B6",7322-Motor vehicle body repairers,2
Quebec,    High Wage,9235-5569 QUEBEC INC.,"Saint-Jean-sur- Richelieu, QC J2W 2V1",6322-Cooks,1
Quebec,    High Wage,9241-6999 QUEBEC INC,"Montreal, QC H1E 2Y8","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
Quebec,    High Wage,9253-0062 Québec Inc.,"Montréal, QC H1X 3E3",6322-Cooks,1
Quebec,    High Wage,9254-1036 QUEBEC INC,"MONTREAL, QC H2X 1B3",6322-Cooks,1
Quebec,    High Wage,9258-2972 Québec Inc.,"Montréal, QC H8S 3B9",4214-Early childhood educators and assistants,1
Quebec,    High Wage,9258-6429 Québec inc,"Lasalle, QC H8R 3H6","6331-Butchers, meat cutters and fishmongers - retail and wholesale",1
Quebec,    High Wage,9262-4725 Québec Inc.,"Montréal, QC H2X 1J2",6322-Cooks,1
Quebec,    High Wage,9267-2229 QUEBEC INC,"Montmagny, QC G5V 3A6","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
Quebec,    High Wage,9267-2286 QUEBEC INC,"Montmagny, QC G5V 3A6","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
Quebec,    High Wage,9269-1757 Québec Inc.,"Saint-Sauveur-des-Monts, QC J0R 1R0",6332-Bakers,1
Quebec,    High Wage,9270-6258 Québec inc.,"Montréal, QC H2G 2E4",4021-College and other vocational instructors,1
Quebec,    High Wage,9271-6638 Québec Inc. (Garderie TchaTchaTcha),"Sherbrooke, QC J1G 1L1",4214-Early childhood educators and assistants,1
Quebec,    High Wage,9271-6638 Québec inc. (Tik Tak To Académie),"Sherbrooke, QC J1G 1L1",4214-Early childhood educators and assistants,1
Quebec,    High Wage,9275-4670 QUÉBEC INC,"STE-MONIQUE, QC G0W 2T0",6322-Cooks,1
Quebec,    High Wage,9275-8788 Québec Inc.,"Brossard, QC J4Y 1A3",6311-Food service supervisors,3
Quebec,    High Wage,9276-0438 Québec Inc.,"Bromont, QC J2L 1C2",6322-Cooks,1
Quebec,    High Wage,9276-0438 Québec Inc.,"Bromont, QC J2L 1C2",6332-Bakers,2
Quebec,    High Wage,9277-5436 Québec Inc.,"Saint-Jean-de-Matha, QC J0K 2S0",6311-Food service supervisors,2
Quebec,    High Wage,9278-5823 Québec Inc,"Laval, QC H7G 2W2",6321-Chefs,1
Quebec,    High Wage,9282-4572 QC inc / SO Original,"St-Bruno, QC J3V 5X5","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
Quebec,    High Wage,9282-7625 Québec Inc.,"Gatineau, QC J8T 8A4",6322-Cooks,1
Quebec,    High Wage,9283-1312 Québec Inc.,"Sherbrooke, QC J1H 1P9",6332-Bakers,3
Quebec,    High Wage,9285-5600 QC Inc,"Saint-Laurent, QC H4T 4L3",7381-Printing press operators,1
Quebec,    High Wage,9288-4279 Québec Inc (DBA FPL Mécanique),"SAINT-EUSTACHE, QC J7R 4K3","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",2
Quebec,    High Wage,9291-5321 Québec Inc,"Montréal, QC H3B 2T9",0631-Restaurant and food service managers,1
Quebec,    High Wage,9299-1439 Québec Inc.,"MONTRÉAL, QC H3B 3C8",6322-Cooks,1
Quebec,    High Wage,9300-6617 Québec Inc.,"Lachine, QC H8T 2V6","1123-Professional occupations in advertising, marketing and public relations",1
Quebec,    High Wage,9301-2672 Quebec Inc,"Montreal, QC H3B 1M6",6322-Cooks,1
Quebec,    High Wage,9302-8249 Québec Inc.,"Saint-Laurent-de-l'ïle-d'Orléans, QC G0A 3Z0","6331-Butchers, meat cutters and fishmongers - retail and wholesale",1
Quebec,    High Wage,9305-2090 Quebec inc.,"Montreal, QC H4B 1V3",6322-Cooks,1
Quebec,    High Wage,9305-9160 Québec (Identité Québec Inc.),"QUÉBEC, QC G2E 6H5",5223-Graphic arts technicians,1
Quebec,    High Wage,9306-3402 Québec Inc. (Kiddo),"Montréal, QC H2H 1V9",4214-Early childhood educators and assistants,1
Quebec,    High Wage,9308-7930 Québec Inc.,"Amos, QC J9T 1Y2","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
Quebec,    High Wage,9309-4779 Québec inc.,"Newport, QC J0B 3A0",7511-Transport truck drivers,1
Quebec,    High Wage,9315-6107 Qc Inc,"Longueuil, QC J4H 2Y5",7271-Carpenters,1
Quebec,    High Wage,9330-6389 Québec inc.,"Montréal, QC H4C 2N1",5241-Graphic designers and illustrators,1
Quebec,    High Wage,9336-1079 Québec Inc.,"Laval, QC H7T 2Y8",6322-Cooks,1
Quebec,    High Wage,9336-4180 Québec Inc.,"Laval, QC H7W 1T3",6322-Cooks,1
Quebec,    High Wage,9337-5228 Québec inc.,"Gatineau, QC G8L 2G9",6322-Cooks,1
Quebec,    High Wage,9341-8887 Quebec Inc,"Westmount, QC H3Z 1P2",6322-Cooks,1
Quebec,    High Wage,9342-6476 Quebec Inc,"Montreal, QC H3H 1M6",6322-Cooks,1
Quebec,    High Wage,9342-7490 Quebec Inc.,"Laval, QC H7E 1A1",7511-Transport truck drivers,8
Quebec,    High Wage,9343-9313 Québec Inc.,"Maskinongé, QC J0K 1N0",1241-Administrative assistants,1
Quebec,    High Wage,9344-5179 QUEBEC INC,"MONTREAL, QC H3W 2R6",6322-Cooks,1
Quebec,    High Wage,9348-5993 Québec Inc.,"Laval, QC H7K 2G5",6322-Cooks,1
Quebec,    High Wage,9348-6595 Québec inc,"MONTRÉAL, QC H2X 1Y8",6322-Cooks,1
Quebec,    High Wage,9354-3064 Québec Inc.,"Vaudreuil, QC J7V 9L5",6322-Cooks,3
Quebec,    High Wage,9356-1009 Québec Inc.,"Montréal, QC H4C 2W6",6322-Cooks,1
Quebec,    High Wage,9359-1980 Québec inc,"Montreal, QC H2L 1R7","6331-Butchers, meat cutters and fishmongers - retail and wholesale",1
Quebec,    High Wage,9359-4158 QC inc,"Montreal, QC H4V 1G8",6311-Food service supervisors,1
Quebec,    High Wage,9360-1813 QC INC,"Montréal, QC H4L 5B3",6322-Cooks,10
Quebec,    High Wage,9364-2239 Québec inc.,"Montréal, QC H4G 1N7","5254-Program leaders and instructors in recreation, sport and fitness",1
Quebec,    High Wage,9366-5800 Québec Inc.,"Montréal, QC H3H 1J7",6322-Cooks,1
Quebec,    High Wage,9366-5891 Québec Inc,"Lévis, QC G7A 2M7","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
Quebec,    High Wage,9367-2079 Québec inc.,"Montréal, QC H2T 2S5",2173-Software engineers and designers,1
Quebec,    High Wage,9368-6616 Québec Inc.,"MONTRÉAL, QC H3J 1R5",2131-Civil engineers,1
Quebec,    High Wage,9373-0182 Québec Inc.,"Rouyn-Noranda, QC J9Y 0G3","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
Quebec,    High Wage,9373-2253 Québec Inc.,"Montréal, QC H2S 2E3",6332-Bakers,1
Quebec,    High Wage,9373292 Canada Inc.,"Boucherville, QC J4B 5L2",6322-Cooks,2
Quebec,    High Wage,9373-6213 QUEBEC INC,"MONTREAL, QC H4G 2A1",6322-Cooks,1
Quebec,    High Wage,9374-5008 QUEBEC INC,"Montreal, QC H4B 1P9",6322-Cooks,1
Quebec,    High Wage,9375-8241 Quebec Inc.,"Montreal, QC H2J 2J2",6322-Cooks,1
Quebec,    High Wage,9377-4487 Québec Inc.,"Saint-Constant, QC J5A 1G4",4214-Early childhood educators and assistants,1
Quebec,    High Wage,9377-5666 Québec Inc.,"Québec, QC G1R 2K5",6322-Cooks,3
Quebec,    High Wage,9381-8060 Québec inc.,"Montréal, QC H4L 2A8","1123-Professional occupations in advertising, marketing and public relations",1
Quebec,    High Wage,9381-9225 Québec Inc.,"Laval, QC H7P 1T8",6311-Food service supervisors,1
Quebec,    High Wage,9383-2491 QUEBEC INC,"Dollard-Des-Ormeaux, QC H9B 1Z8",6322-Cooks,1
Quebec,    High Wage,9384-0452 Québec Inc.,"Québec, QC G1Y 3S9",1241-Administrative assistants,1
Quebec,    High Wage,9388-8683 Québec inc.,"Québec, QC G2K 2H6",6231-Insurance agents and brokers,1
Quebec,    High Wage,9389-0580 Québec inc. (Tim Hortons),"Mirabel, QC J7N 1K2",6311-Food service supervisors,3
Quebec,    High Wage,9396-3478 Québec Inc.,"Montréal, QC H2S 1L6",4214-Early childhood educators and assistants,1
Quebec,    High Wage,9398-1066 Québec Inc,"Montréal, QC H2T 1S5",0631-Restaurant and food service managers,1
Quebec,    High Wage,9399-4879 Québec Inc.,"Québec, QC G1W 2L8",1241-Administrative assistants,1
Quebec,    High Wage,9573372 Canada Inc.,"Montréal, QC H3E 3L6",0113-Purchasing managers,1
Quebec,    High Wage,9727809 Canada Inc.,"Sherbrooke, QC J1J 2Z3",2282-User support technicians,49
Quebec,    High Wage,A. Malo compagnie ltée,"Joliette, QC J6E 5N9",7231-Machinists and machining and tooling inspectors,1
Quebec,    High Wage,A.E.T. Hanessian Solutions Inc.,"Lachine, QC H8T 1A3",2281-Computer network technicians,1
Quebec,    High Wage,Abich Inc.,"Montréal, QC H3X 2H9",1241-Administrative assistants,1
Quebec,    High Wage,Académie L'Escargot futé Villeray inc.,"Montréal, QC H2R 1H5",4214-Early childhood educators and assistants,1
Quebec,    High Wage,Acier Profilé SBB Inc.,"Blainville, QC J7C 0B5",7237-Welders and related machine operators,2
Quebec,    High Wage,AEDIFICA Inc.,"Montreal, QC H3B 1K9",2133-Electrical and electronics engineers,1
Quebec,    High Wage,Agence Agro Inc.,"Brossard, QC J4Y 2A5","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
Quebec,    High Wage,Agence Maplr Inc.,"Montréal, QC H2T 3B3",2174-Computer programmers and interactive media developers,1
Quebec,    High Wage,agileDSS,"Montréal, QC H2Y 2G3",2171-Information systems analysts and consultants,1
Quebec,    High Wage,Airbus Canada Limited Partnership,"Montréal, QC H3B 1Y8",2146-Aerospace engineers,1
Quebec,    High Wage,Airgraft Inc.,"Montréal, QC H3C 2N5",2175-Web designers and developers,1
Quebec,    High Wage,Alessa Trattoria Inc.,"Magog, QC J1X 2B2",6322-Cooks,2
Quebec,    High Wage,Alethia Biothérapetiques Inc.,"Montréal, QC H2X 1Y4",2121-Biologists and related scientists,1
Quebec,    High Wage,Alimentation Sogesco Inc.,"St-Hyacinthe, QC J2S 4Z4","6331-Butchers, meat cutters and fishmongers - retail and wholesale",1
Quebec,    High Wage,Alithya Canada Inc.,"Montréal, QC H3B 3A5",1121-Human resources professionals,1
Quebec,    High Wage,Alithya Canada Inc.,"Montréal, QC H3B 3A5",2171-Information systems analysts and consultants,2
Quebec,    High Wage,Alliance Internationale francophone pour l’égalité et les diversités (EGIDES),"Montréal, QC H2X 1L2","4164-Social policy researchers, consultants and program officers",1
Quebec,    High Wage,ALTEN Canada Inc.,"Montréal, QC H3B 4N4",1223-Human resources and recruitment officers,1
Quebec,    High Wage,American Iron & Metal Company Inc.,"Montreal, QC H1E 2S4",7311-Construction millwrights and industrial mechanics,3
Quebec,    High Wage,American Iron & Metal Company Inc.,"Montreal, QC H1E 2S4",7312-Heavy-duty equipment mechanics,6
Quebec,    High Wage,Animation Squeeze Studio inc.,"Québec, QC G1K 3J3",5241-Graphic designers and illustrators,1
Quebec,    High Wage,Annie 50 inc.,"Montréal, QC H2K 3T1",1241-Administrative assistants,1
Quebec,    High Wage,Appalaches Nature Inc.,"Thetford Mines, QC G6G 0G9",0601-Corporate sales managers,1
Quebec,    High Wage,Arivac Inc.,"SAINT-HYACINTHE, QC J2S 6L7",1225-Purchasing agents and officers,1
Quebec,    High Wage,Arthur Malouin Ltée,"St-Césaire, QC J0L 1T0",6231-Insurance agents and brokers,1
Quebec,    High Wage,ASTEK Canada Inc.,"Montréal, QC H2Y 1M6",2171-Information systems analysts and consultants,2
Quebec,    High Wage,ASTEK Canada Inc.,"Montréal, QC H2Y 1M6",2174-Computer programmers and interactive media developers,2
Quebec,    High Wage,Atelier de réparation Laforge inc.,"Sept-Îles, QC G4S 1S1","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
Quebec,    High Wage,Atelier d'Usinage Gomex Inc.,"Trois-Rivières, QC G8T 8Z7",7237-Welders and related machine operators,1
Quebec,    High Wage,Atelier d'usinage Mégatech A.Q. Inc.,"Québec, QC G1P 4M9",7231-Machinists and machining and tooling inspectors,1
Quebec,    High Wage,Atelier d'usinage Pierre Fortier Inc.,"Vaudreuil-Dorion, QC J7V 8P2",7231-Machinists and machining and tooling inspectors,2
Quebec,    High Wage,Atelier Maison Smith Inc.,"Québec, QC G1L 2V7",6222-Retail and wholesale buyers,1
Quebec,    High Wage,Atelier Murri Inc.,"Montréal, QC H2W 1C6",6221-Technical sales specialists - wholesale trade,1
Quebec,    High Wage,Au Plumard Couette & Café,"Lévis, QC G6V 4K9",0632-Accommodation service managers,1
Quebec,    High Wage,Auto Ace Inc.,"Laval, QC H7L 3Y5",7322-Motor vehicle body repairers,1
Quebec,    High Wage,Automobiles Pierre Méthot Inc.,"Victoriaville, QC G6P 4B8","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",2
Quebec,    High Wage,Avi Life-Lab Inc.,"Saint-Laurent, QC H4S 2A1",2211-Chemical technologists and technicians,2
Quebec,    High Wage,B.L. Hydraulique Mécanique Inc,"Sorel-Tracy, QC J3R 0E2",7312-Heavy-duty equipment mechanics,3
Quebec,    High Wage,BAM Café inc.,"Beaupré, QC G0A 1E0",6332-Bakers,1
Quebec,    High Wage,Banque Nationale du Canada,"Montréal, QC H3B 4L2",2174-Computer programmers and interactive media developers,3
Quebec,    High Wage,Banquets Baillargeon Cosmos Traiteur Inc.,"Québec, QC G1V 2L9",6332-Bakers,1
Quebec,    High Wage,Bar Sora,"MONTREAL, QC H3X 2B6",0631-Restaurant and food service managers,1
Quebec,    High Wage,Bathaa Inc.,"Québec, QC G3K 2V8",2171-Information systems analysts and consultants,1
Quebec,    High Wage,Battig Design Inc.,"Trois-Rivières, QC G9A 1W5",2252-Industrial designers,1
Quebec,    High Wage,Bau-Val Inc.,"Boucherville, QC J4B 6T3",7311-Construction millwrights and industrial mechanics,1
Quebec,    High Wage,BDG Strateys Inc.,"Montréal, QC H3A 1K2",1241-Administrative assistants,1
Quebec,    High Wage,Beaulieu Canada ltée,"Acton Vale, QC J0H 1A0",7333-Electrical mechanics,1
Quebec,    High Wage,"Beaupré, Michaud & Associés, Architectes sencrl","Montréal, QC H2W 1Y5",1221-Administrative officers,1
Quebec,    High Wage,Beenox inc.,"Quebec, QC G1K 3H3",5241-Graphic designers and illustrators,1
Quebec,    High Wage,Behaviour Interactive Inc.,"MONTRÉAL, QC H2S 3H1","1123-Professional occupations in advertising, marketing and public relations",3
Quebec,    High Wage,Behaviour Interactive Inc.,"MONTRÉAL, QC H2S 3H1",5241-Graphic designers and illustrators,3
Quebec,    High Wage,Behaviour Interactive Inc.,"MONTRÉAL, QC H2S 3H1",6314-Customer and information services supervisors,1
Quebec,    High Wage,Bentley & Cie Ltée,"Montréal, QC H4T 1C8",2172-Database analysts and data administrators,1
Quebec,    High Wage,Béton Bolduc Inc.,"Sainte-Marie, QC G6E 1G8",7311-Construction millwrights and industrial mechanics,1
Quebec,    High Wage,Biexo inc.,"St-Roch-de-l'Achigan, QC J0K 3H0",7237-Welders and related machine operators,2
Quebec,    High Wage,Biscuits Leclerc Ltée,"Saint-Augustin-De-Desmaures, QC G3A 1T1",7333-Electrical mechanics,1
